time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
9.306884,-0.0125,0.0052,0.0353,0.038
9.326112,-0.0079,-0.0188,0.0353,0.041
9.345730,-0.0032,-0.0185,0.0401,0.044
9.367699,-0.0033,0.0007,0.0449,0.045
9.384337,-0.0081,0.0055,0.0545,0.055
9.404208,-0.0226,0.0052,0.0401,0.046
9.424519,-0.0225,0.0006,0.0353,0.042
9.446935,-0.0225,0.0006,0.0449,0.050
9.468767,-0.0081,0.0102,0.0401,0.042
9.487295,-0.0033,0.0007,0.0353,0.035
9.507011,-0.0073,-0.0088,0.0593,0.060
9.527063,0.0021,-0.0134,0.0545,0.056
9.549029,-0.0023,0.0061,0.0449,0.045
9.568925,-0.0067,0.0058,0.0401,0.041
9.587161,0.0028,0.0058,0.0353,0.036
9.605181,-0.0211,0.0060,0.0353,0.042
9.622104,-0.0305,-0.0036,0.0257,0.040
9.642305,-0.0209,0.0013,0.0210,0.030
9.662458,-0.0111,0.0012,0.0545,0.056
9.681411,-0.0065,0.0106,0.0545,0.056
9.701803,-0.0067,-0.0036,0.0401,0.041
9.720959,-0.0018,-0.0036,0.0353,0.036
9.740662,0.0028,-0.0034,0.0449,0.045
9.760525,-0.0210,-0.0081,0.0401,0.046
9.780110,-0.0257,-0.0081,0.0497,0.057
9.800028,-0.0116,0.0064,0.0305,0.033
9.819488,-0.0069,0.0016,0.0449,0.045
9.839458,-0.0165,-0.0032,0.0401,0.044
9.859162,-0.0116,0.0158,0.0210,0.029
9.879272,0.0026,0.0017,0.0449,0.045
9.903081,-0.0118,-0.0080,0.0497,0.052
9.921085,-0.0118,0.0064,0.0353,0.038
9.939008,-0.0165,-0.0030,0.0353,0.039
9.958907,-0.0071,0.0018,0.0449,0.046
9.979075,-0.0069,-0.0080,0.0305,0.032
10.000714,-0.0023,-0.0031,0.0353,0.036
10.020367,-0.0167,-0.0032,0.0449,0.048
10.039147,-0.0167,-0.0079,0.0449,0.049
10.057963,-0.0120,-0.0034,0.0497,0.051
10.078202,-0.0215,0.0110,0.0545,0.060
10.097779,-0.0164,-0.0033,0.0401,0.043
10.118434,-0.0164,0.0159,0.0545,0.059
10.138611,-0.0022,0.0063,0.0305,0.031
10.157977,-0.0021,-0.0081,0.0162,0.018
10.177195,-0.0212,-0.0079,0.0353,0.042
10.197702,-0.0020,-0.0081,0.0353,0.036
10.218771,-0.0115,0.0016,0.0401,0.042
10.238265,-0.0164,0.0111,0.0353,0.041
10.258080,-0.0022,-0.0033,0.0449,0.045
10.277950,-0.0025,-0.0129,0.0401,0.042
10.296637,-0.0123,-0.0081,0.0545,0.056
10.315950,-0.0219,0.0111,0.0258,0.036
10.336462,-0.0075,0.0017,0.0210,0.022
